latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-33.85021,-53.68569,300.9,0.53,0.42,2021-01-01,0412,1,nominal,2.0NRT,280.6,0.7,N
-33.84814,-53.67913,327,0.53,0.42,2021-01-01,0412,1,nominal,2.0NRT,281.3,3.1,N
-33.84697,-53.68484,317,0.53,0.42,2021-01-01,0412,1,nominal,2.0NRT,279.6,3.1,N
-32.9222,-60.28904,338.8,0.42,0.61,2021-01-01,0412,1,nominal,2.0NRT,286.8,2.6,N
-32.92104,-60.29343,297.1,0.42,0.61,2021-01-01,0412,1,nominal,2.0NRT,283.9,2.6,N
-32.29721,-63.20537,300.5,0.62,0.72,2021-01-01,0412,1,nominal,2.0NRT,286.2,1.6,N
-33.38558,-59.577,353.7,0.37,0.58,2021-01-01,0412,1,nominal,2.0NRT,288.5,5.7,N
-33.39081,-59.57891,321.4,0.37,0.58,2021-01-01,0412,1,nominal,2.0NRT,285.5,1.8,N
-33.38801,-59.57637,367,0.37,0.58,2021-01-01,0412,1,high,2.0NRT,291.1,7.8,N
-33.38699,-59.58031,298.6,0.37,0.58,2021-01-01,0412,1,nominal,2.0NRT,284.1,4.1,N
-33.3649,-60.14084,367,0.4,0.6,2021-01-01,0412,1,high,2.0NRT,292.6,9,N
-33.36598,-60.13665,323.3,0.4,0.6,2021-01-01,0412,1,nominal,2.0NRT,292.1,9,N
-33.36417,-60.13977,367,0.4,0.6,2021-01-01,0412,1,high,2.0NRT,294.4,8.3,N
-33.35973,-60.15667,304.4,0.4,0.6,2021-01-01,0412,1,nominal,2.0NRT,290.2,2.3,N
-33.36527,-60.13559,308,0.4,0.6,2021-01-01,0412,1,nominal,2.0NRT,291.9,8.3,N
-33.364,-60.16291,306.4,0.4,0.6,2021-01-01,0412,1,nominal,2.0NRT,290.4,1.6,N
-34.15421,-58.94225,300.6,0.33,0.55,2021-01-01,0412,1,nominal,2.0NRT,288.7,1,N
-34.15831,-58.94756,298,0.33,0.55,2021-01-01,0412,1,nominal,2.0NRT,288,0.9,N
-34.85791,-57.89329,311.3,0.56,0.51,2021-01-01,0412,1,nominal,2.0NRT,290.9,2.4,N
-34.92369,-58.47915,304.3,0.6,0.53,2021-01-01,0412,1,nominal,2.0NRT,287.3,1.1,N
-34.92846,-58.48087,301.1,0.6,0.53,2021-01-01,0412,1,nominal,2.0NRT,287.4,1.1,N
-34.90636,-58.65734,315.7,0.61,0.53,2021-01-01,0412,1,nominal,2.0NRT,285.3,2.7,N
-38.03115,-57.56945,319,0.45,0.47,2021-01-01,0412,1,nominal,2.0NRT,284,1.9,N
-38.03232,-57.56436,305.3,0.45,0.47,2021-01-01,0412,1,nominal,2.0NRT,284.1,1.9,N
-37.55389,-65.15723,311.5,0.57,0.69,2021-01-01,0412,1,nominal,2.0NRT,280.1,3.9,N
-37.5556,-65.15643,312.9,0.57,0.69,2021-01-01,0412,1,nominal,2.0NRT,281.2,3.9,N
69.37363,88.12011,367,0.59,0.7,2021-01-01,0154,1,high,2.0NRT,243.6,20.3,N
68.41629,83.63366,367,0.7,0.75,2021-01-01,0154,1,high,2.0NRT,241.1,10.9,N
68.41741,83.62999,367,0.7,0.75,2021-01-01,0154,1,high,2.0NRT,237.9,16.8,N
68.52722,79.95782,342.3,0.69,0.74,2021-01-01,0154,1,nominal,2.0NRT,241.3,6,N
68.52677,79.95329,333.7,0.69,0.74,2021-01-01,0154,1,nominal,2.0NRT,240.8,4.6,N
71.25764,72.07774,320.9,0.43,0.62,2021-01-01,0154,1,nominal,2.0NRT,236.3,2.1,N
71.25671,72.06017,326.6,0.43,0.62,2021-01-01,0154,1,nominal,2.0NRT,235.8,2.1,N
71.25803,72.06714,331.7,0.43,0.62,2021-01-01,0154,1,nominal,2.0NRT,236.5,3.3,N
67.80471,72.5263,322.7,0.74,0.76,2021-01-01,0154,1,nominal,2.0NRT,242.3,4.2,N
-3.58112,-38.85905,309.3,0.42,0.37,2021-01-01,0406,1,nominal,2.0NRT,293.8,2.6,N
-3.58079,-38.85883,308.9,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,293.9,2.6,N
-3.5911,-38.86043,319.3,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,294.7,3.8,N
-3.59453,-38.86096,312.3,0.42,0.38,2021-01-01,0406,1,nominal,2.0NRT,292.9,1.5,N
-3.8543,-38.43489,312.4,0.44,0.38,2021-01-01,0406,1,nominal,2.0NRT,290.9,2.8,N
-3.68577,-40.37326,302.3,0.39,0.36,2021-01-01,0406,1,nominal,2.0NRT,281.4,0.7,N
-4.10844,-38.22166,321.6,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,292.8,3.8,N
-4.11198,-38.22221,311.2,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,292,2.5,N
-4.11177,-38.22149,315.8,0.45,0.39,2021-01-01,0406,1,nominal,2.0NRT,292.2,2.7,N
-5.22552,-37.37007,317.5,0.51,0.41,2021-01-01,0406,1,nominal,2.0NRT,292.9,3.6,N
-5.33975,-37.73695,310.8,0.49,0.4,2021-01-01,0406,1,nominal,2.0NRT,292.4,2.4,N
-5.34344,-37.73749,305,0.49,0.4,2021-01-01,0406,1,nominal,2.0NRT,292,1.8,N
-5.34411,-37.73313,312.2,0.49,0.4,2021-01-01,0406,1,nominal,2.0NRT,292.1,1.8,N
-5.92991,-35.2131,314.5,0.47,0.48,2021-01-01,0406,1,nominal,2.0NRT,292.3,1.7,N
-5.4452,-39.80545,301.8,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,264,1.3,N
-5.44576,-39.80185,306.2,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,266.9,1.3,N
-5.44858,-39.80596,319.4,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,267.1,1.3,N
-5.44914,-39.80235,313.8,0.4,0.37,2021-01-01,0406,1,nominal,2.0NRT,266.2,1.3,N
